AC_NO,AC_NAME,DT_CODE,DIST_NAME,PC_NO,PC_NAME,no.,constituency,no._of_voters,turn_out,winner,winner_party,winner_votes,winner_alliance,runner_up,runner_up_party,runner_up_votes,runner_up_alliance,third,third_party,third_votes,third_alliance,fourth,fourth_party,fourth_votes,fourth_alliance,lead
1,Manjeshwar,1.0,KASARAGOD,1,KASARAGOD,1,Manjeshwar,208104,158886,P. B. Abdul Razak,IUML,56870,UDF,K. Surendran,BJP,56781,NDA,C. H. Kunhambu,CPIM,42565,LDF,Basheer Ahamad,PDP,759,,89
2,Kasaragod,1.0,KASARAGOD,1,KASARAGOD,2,Kasaragod,188828,144773,N. A. Nellikkunnu,IUML,64727,UDF,Ravisha Thanthri Kuntar,BJP,56120,NDA,A. A. Ameen,INL,21615,LDF,B. Vijayakumar,BSP,585,,8607
3,Udma,1.0,KASARAGOD,1,KASARAGOD,3,Udma,199775,160909,K. Kunhiraman,CPIM,70679,LDF,K. Sudhakaran,INC,66847,UDF,K. Shreekanth,BJP,21231,NDA,Gopi Kuthirakallu,PDP,353,,3832
4,Kanhangad,1.0,KASARAGOD,1,KASARAGOD,4,Kanhangad,204407,161281,E. Chandrasekharan,CPI,80558,LDF,Dhanya Suresh,INC,54547,UDF,M. P. Raghavan,BDJS,21104,NDA,Chandran Parappa,BSP,965,,26011
5,Trikaripur,1.0,KASARAGOD,1,KASARAGOD,5,Trikaripur,189819,155720,M. Rajagopalan,CPIM,79286,LDF,K. P. Kunhikannan,INC,62327,UDF,M. Bhaskaran,BJP,10767,NDA,C. H. Muthalib,WPI,1029,,16959
6,Payyannur,2.0,KANNUR,1,KASARAGOD,6,Payyannur,175319,143469,C. Krishnan,CPIM,83226,LDF,Sajid Mavval,INC,42963,UDF,Aniamma Teacher,BJP,15341,NDA,Vinod Kumar Ramanthali,CPIMLR,870,,40263
7,Kalliasseri,2.0,KANNUR,1,KASARAGOD,7,Kalliasseri,176793,138758,T. V. Rajesh,CPIM,83006,LDF,Amritha Ramakrishnan,INC,40115,UDF,K. P. Arun Master,BJP,11036,NDA,Sunil Koyilerian,IND,1455,IND,42891
8,Taliparamba,2.0,KANNUR,2,KANNUR,8,Taliparamba,197195,159977,James Mathew,CPIM,91106,LDF,Rajesh Nambiar,KCM,50489,UDF,P. Balakrishnan Master,BJP,14742,NDA,Ibrahim Thiruvattoor,SDPI,1323,,40617
9,Irikkur,2.0,KANNUR,2,KANNUR,9,Irikkur,188174,148073,K. C. Joseph,INC,72548,UDF,K. T. Jose,CPI,62901,LDF,A. P. Gangadharan,BJP,8294,NDA,Binoy Thomas,IND,2734,IND,9647
10,Azhikode,2.0,KANNUR,2,KANNUR,10,Azhikode,172105,141534,K. M. Shaji,IUML,63082,UDF,M. V. Nikesh Kumar,CPIM,60795,LDF,A. V. Kesavan,BJP,12580,NDA,K. K. Abdul Jabbar,SDPI,1705,,2287
11,Kannur,2.0,KANNUR,2,KANNUR,11,Kannur,162625,126203,Ramachandran Kadannappalli,CS,54347,LDF,Satheesan Pacheni,INC,53151,UDF,K. G. Babu,BJP,13215,NDA,K. P. Sufira,SDPI,2551,,1196
12,Dharmadam,2.0,KANNUR,2,KANNUR,12,Dharmadam,183791,153660,Pinarayi Vijayan,CPIM,87329,LDF,Mambaram Divakaran,INC,50424,UDF,Mohanan Manantheri,BJP,12763,NDA,Tharammal Niyas,SDPI,1994,,36905
13,Thalassery,2.0,KANNUR,3,VADAKARA,13,Thalassery,166652,132674,A. N. Shamseer,CPIM,70741,LDF,A. P. Abdullakutty,INC,36624,UDF,V. K. Sajeevan,BJP,22125,NDA,Jabeena Irshad,WPI,1337,,34117
14,Kuthuparamba,2.0,KANNUR,3,VADAKARA,14,Kuthuparamba,179886,146611,K. K. Shylaja Teacher,CPIM,67013,LDF,K. P. Mohanan S/O P R Kurup,JDU,54722,UDF,C. Sadanandan Master,BJP,20787,NDA,K. C. Muhammad Shabeer,SDPI,1681,,12291
15,Mattannur,2.0,KANNUR,2,KANNUR,15,Mattannur,177722,148702,E. P. Jayarajan,CPIM,84030,LDF,K. P. Prasanth,JDU,40649,UDF,Biju Elakkuzhi,BJP,18620,NDA,Rafeekh Keecheri,SDPI,3188,,43381
